ID Client,Company Name,Country,Dimension,Employees Number,Field
,,,,,
CL1,SecureMatrix Innovate,LV,Multinational,5584,Marketing
CL35,InfoPulse Dynamics,GR,Medium,445,Education
CL51,SyncGuard Innovate,PL,Small,47,Aerospace
CL40,DataHarbor Systems,SK,Medium,448,
CL9,InfoSphere Tech,ME,Medium,374,Advertising
CL12,CipherLink Corp.,DNK,Multinational,8107,Logistics
CL89,DataTech Co.,MD,Medium,374,Real Estate
CL48,QuantumGuard Dynamics,TR,Medium,355,Real Estate
CL7,ByteHarbor Solutions,XKX,Multinational,16335,Finance
CL42,CloudPulse Innovations,FR,Medium,408,Logistics
